isbn	title	author	rating_count	rating_calc	rating_eb
0064434907	The Story of Easter	Aileen Fisher, Stefano Vitale	45	3.7777777777777777	3.9330428971513665
0064434923	What You Know First	Patricia MacLachlan, Barry Moser	342	4.081871345029239	4.080316569343264
0064434990	Edward the Emu	Sheena Knowles, Rod Clement	1554	4.20913770913771	4.204708973634316
0064435547	Cats Sleep Anywhere	Eleanor Farjeon, Anne Mortimer (Illustrator)	91	3.912087912087912	3.968804555139798
0064435776	The Irish Cinderlad	Shirley Climo, Loretta Krupinski (Illustrator)	339	3.808259587020649	3.842504758222099
0064435954	Paddington Bear and the Christmas Surprise	Michael Bond, R.W. Alley (Author) (Illustrator)	289	3.643598615916955	3.707599749610095
0064436225	Sneakers, the Seaside Cat	Margaret Wise Brown, Anne Mortimer (Illustrator)	284	3.834507042253521	3.870374320533837
0064436705	On Christmas Eve	Margaret Wise Brown, Nancy Edwards Calder (Illustrator)	159	3.459119496855346	3.60756737738719
0064438147	Moonlight: The Halloween Cat	Cynthia Rylant, Melissa Sweet (Illustrator)	356	3.561797752808989	3.6255238566202155
0064438538	The Persian Cinderella	Shirley Climo, Robert Florczak (Illustrator)	963	3.9615784008307373	3.9670318930845765
0064438562	The Raft	Jim LaMarche	888	4.39527027027027	4.377581317155856
0064438694	Remember the Ladies: 100 Great American Women	Cheryl Harness	87	4.137931034482759	4.112773285453507
006444001X	A Bargain for Frances	Russell Hoban, Lillian Hoban (Illustrator)	14609	4.258881511397084	4.25822340398628
0064440028	Danny and the Dinosaur	Syd Hoff	28420	4.021217452498241	4.021304748679622
0064440133	Mouse Tales	Arnold Lobel	5750	4.196695652173913	4.195579793205445
006444015X	No Fighting, No Biting!	Else Holmelund Minarik, Maurice Sendak (Illustrations)	498	4.01004016064257	4.0156061891538375
0064440176	The Case of the Cat's Meow	Crosby Newell Bonsall	128	3.6328125	3.7574374693524306
0064440206	Frog and Toad Are Friends	Arnold Lobel	81613	4.203092644554176	4.203009379795473
0064440346	Owl at Home (I Can Read ~ Level 2)	Arnold Lobel	6134	4.1879686990544505	4.186994151923164
0064440389	The Fire Cat	Esther Averill	7036	4.146958499147242	4.146403408160369
0064440419	Mouse Soup	Arnold Lobel	5297	4.204455352086087	4.203170901863427
0064440451	Morris Goes to School	Bernard Wiseman	3485	4.208034433285509	4.2060401111506724
