isbn	title	author	rating_eb	scaled_eb	scaled_norm
1338187376	Unplugged	Steve Antony (Author)	3.9222991326078493	2.891677152813352	2.641186760681996
1338216384	Rita and Ralph's Rotten Day	Carmen Agra Deedy, Pete Oswald (Illustrations)	3.99741766224356	3.0547918807489842	2.8157268966700815
1338233157	Sunny Rolls the Dice	Jennifer L. Holm (Author), Matthew Holm (Illustrations)	4.102357312893276	3.282661124840942	3.107062804452342
1338251015	Roy Digs Dirt	David Shannon	3.9242100033110052	2.8958264773059508	2.6452781633417484
133825183X	Bird & Squirrel All Tangled Up	James Burks (Author)	4.330735242920809	3.778568114815285	3.768842615387855
1338289411	The Very Impatient Caterpillar	Ross Burach	4.251942751498993	3.6074756311901774	3.5496659077363755
1338298399	Cicada	Shaun Tan	4.174518039659871	3.4393531869892806	3.330621492407615
1338339982	I Am a Super Girl!: An Acorn Book	Kelly Greenawalt, Amariah Rauscher (Illustrations)	3.67241097616775	2.349062183514401	2.1215886640983403
1338349899	I Am a Tiger	Karl Newson, Ross Collins (Illustrator)	3.942790651186854	2.936173078042608	2.689931780623541
1338540556	The Midwinter Witch	Molly Ostertag	4.322551697273418	3.76079810749091	3.7478519370485284
1338547526	Surf's Up!: An Acorn Book	Luke Flowers	3.766034423640036	2.5523590696075757	2.3076583919712315
1338572318	Be You!	Peter H. Reynolds	4.4745294693167015	4.0908074015934766	4.154507492943512
1338602829	Macca the Alpaca	Matt Cosgrove	3.9191153871190316	2.8847638681451984	2.633836931671059
1338608894	The Return of Thelma the Unicorn	Aaron Blabey	3.912532896465458	2.8704704417788482	2.6196450389397175
1365014045	Nala and the Gala	N. Cox (Author), Jerlyn Thomas (Author) (Illustrator)	4.082986764161582	3.2405993086464977	3.0386464606787036
136531295X	Other Kids Are Kids Almost Just Like You	Christina Engela (Author)	4.0993467136331585	3.2761238153166636	3.097986385289763
1368002145	Sam, the Most Scaredy-cat Kid in the Whole World	Mo Willems	3.6397425745392513	2.278124993055986	2.0491661203387257
1368002676	If I Could Give You Christmas	Lynn Plourde (Author), Jennifer L Meyer (Contributor)	3.9201084317542434	2.886920196367889	2.6357262166777757
1368003540	Bruce's Big Move	Ryan T. Higgins (Author)	4.120751793673427	3.3226034765153165	3.168820894387128
1368003559	We Don't Eat Our Classmates	Ryan T. Higgins (Author)	4.518294618202673	4.185840416592802	4.27878219715105
1368008445	Sanity & Tallulah	Molly Brooks (Author)	3.9669923236254143	2.9887253475631557	2.7490699069800915
