Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
MZAZ,360,N,M,MONJO,N,146,21Apr1987,4,,CB,DUKE PRIM,2,90,21Jan1987,1,318,FANDRASA,MZAZ,25Aug1979,7.41,319,GAKA,MZAZ,25Aug1979,7.41,20Nov2002,15.59,,,15.59,3
CMED,3600,N,M,TERN,N,316,04Aug1986,8,,CB,DUKE PRIM,2,60,05Jun1986,6,1643,TRYPHOSA,CMED,04Jul1985,0.92,671,JUDAS,CMED,07Aug1981,4.83,01Jan1995,8.42,,,8.42,
CMED,3601,N,F,TRYPHOSA-A,N,317,04Aug1986,8,,CB,DUKE PRIM,2,60,05Jun1986,6,1643,TRYPHOSA,CMED,04Jul1985,0.92,671,JUDAS,CMED,07Aug1981,4.83,07Aug1986,0.01,,,0.01,
CMED,3602,N,ND,BERNICE-A,N,321,29Aug1986,8,,CB,DUKE PRIM,1,60,30Jun1986,6,683,BERNICE,CMED,18Jul1982,3.95,666,MATTHEW,CMED,13Jul1981,4.97,29Aug1986,0.00,,,0.00,
CMED,3603,N,M,COOT,N,326,09Jun1987,6,,CB,DUKE PRIM,2,60,10Apr1987,4,613,DIAS,CMED,18Jul1974,12.74,606,JESSE,CMED,13Apr1973,14.00,,,,7.27,7.27,
CMED,3604,N,M,PEWEE,N,327,09Jun1987,6,,CB,DUKE PRIM,2,60,10Apr1987,4,613,DIAS,CMED,18Jul1974,12.74,606,JESSE,CMED,13Apr1973,14.00,,,,7.27,7.27,
CMED,3605,N,M,STILT,N,334,11Jul1987,7,,CB,DUKE PRIM,3,60,12May1987,5,650,MAGDALEN,CMED,04Sep1979,7.69,1602,LUCAS,CMED,16Jul1983,3.82,14Nov1987,0.35,,,0.35,
CMED,3606,N,M,ROADRUNNER,N,335,11Jul1987,7,,CB,DUKE PRIM,3,60,12May1987,5,650,MAGDALEN,CMED,04Sep1979,7.69,1602,LUCAS,CMED,16Jul1983,3.82,,,,9.99,9.99,
CMED,3607,N,F,CHAT,N,336,11Jul1987,7,,CB,DUKE PRIM,3,60,12May1987,5,650,MAGDALEN,CMED,04Sep1979,7.69,1602,LUCAS,CMED,16Jul1983,3.82,14Nov1987,0.35,,,0.35,
CMED,3608,N,ND,EUODIA-A,N,337,12Jul1987,7,,CB,DUKE PRIM,3,60,13May1987,5,1640,EUODIA,CMED,03Jul1985,1.86,1602,LUCAS,CMED,16Jul1983,3.83,12Jul1987,0.00,,,0.00,
CMED,3609,N,ND,EUODIA-B,N,338,12Jul1987,7,,CB,DUKE PRIM,3,60,13May1987,5,1640,EUODIA,CMED,03Jul1985,1.86,1602,LUCAS,CMED,16Jul1983,3.83,12Jul1987,0.00,,,0.00,
MZAZ,361,N,M,POMA-B,N,147,19May1987,5,,CB,DUKE PRIM,1,90,18Feb1987,2,322,POMA,MZAZ,02Sep1982,4.47,315,AROSY,MZAZ,25Aug1979,7.49,22May1987,0.01,,,0.01,
CMED,3610,N,ND,EUODIA-C,N,339,12Jul1987,7,,CB,DUKE PRIM,3,60,13May1987,5,1640,EUODIA,CMED,03Jul1985,1.86,1602,LUCAS,CMED,16Jul1983,3.83,12Jul1987,0.00,,,0.00,
CMED,3611,N,M,BUNTING,N,341,16Jul1987,7,,CB,DUKE PRIM,3,60,17May1987,5,678,LOIS,CMED,26Apr1982,5.06,1607,NATHANIEL,CMED,31Jul1983,3.80,26Feb2004,16.63,,,16.63,
CMED,3612,N,M,BOBOLINK,N,342,16Jul1987,7,,CB,DUKE PRIM,3,60,17May1987,5,678,LOIS,CMED,26Apr1982,5.06,1607,NATHANIEL,CMED,31Jul1983,3.80,09Nov1999,12.33,,,12.33,
CMED,3613,N,F,BLUEBIRD,N,340,16Jul1987,7,,CB,DUKE PRIM,3,60,17May1987,5,678,LOIS,CMED,26Apr1982,5.06,1607,NATHANIEL,CMED,31Jul1983,3.80,27Jan2009,21.55,,,21.55,
CMED,3614,N,M,MAGPIE,N,344,30Jul1987,7,,CB,DUKE PRIM,1,60,31May1987,5,1632,TRYPHENA,CMED,07Sep1984,2.73,1628,PHILIP,CMED,11Aug1984,2.80,03Jun2000,12.85,,,12.85,
CMED,3615,N,ND,SAPPHIRA-C,N,345,01Aug1987,8,,CB,DUKE PRIM,2,60,02Jun1987,6,688,SAPPHIRA,CMED,12Aug1982,4.81,1612,ZECHARIAH,CMED,17Jun1984,2.96,01Aug1987,0.00,,,0.00,
