Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
LCAT,7210,N,F,Thea,Y,4084,04May2015,5,,CB,Duke Lemur Center,2,138,17Dec2014,12,6864,Sophia,LCAT,18Jun2005,9.50,6955,Randy,LCAT,12Mar2006,8.77,,,3.76,,3.76,
VRUB,7211,N,F,Celeste,N,1900,13May2015,5,,CB,Duke Lemur Center,3,103,30Jan2015,1,6995,Pandora,VRUB,10May2011,3.73,6206,Comet,VRUB,01Oct1984,30.35,,,,3.59,3.59,
VRUB,7212,N,M,Arche,N,1901,13May2015,5,,CB,Duke Lemur Center,3,103,30Jan2015,1,6995,Pandora,VRUB,10May2011,3.73,6206,Comet,VRUB,01Oct1984,30.35,,,,3.56,3.56,
VRUB,7213,N,M,Stephano,N,1902,13May2015,5,,CB,Duke Lemur Center,3,103,30Jan2015,1,6995,Pandora,VRUB,10May2011,3.73,6206,Comet,VRUB,01Oct1984,30.35,30Sep2015,0.38,,,0.38,
ECOR,7214,N,F,Seshen,Y,116,18May2015,5,,CB,Duke Lemur Center,1,124,14Jan2015,1,6979,Seshat,ECOR,13Jul2010,4.51,7069,Mosi,ECOR,01Jun2010,4.62,,,3.73,,3.73,
VRUB,7215,N,M,Bode,Y,1903,27May2015,5,,CB,Duke Lemur Center,1,103,13Feb2015,2,6633,Pyxis II,VRUB,29Apr1995,19.81,6240,Borealis,VRUB,30Apr1988,26.81,,,3.70,,3.70,
EMON,7216,N,F,Carolina-B,N,1292,02Jun2015,6,,CB,Duke Lemur Center,1,127,26Jan2015,1,6972,Carolina,EMON,03Apr2010,4.82,7158,Duggan,EMON,28Mar2008,6.84,02Jun2015,0.00,,,0.00,
MMUR,7217,N,F,Nettle-A,N,828,14Jun2015,6,,CB,Duke Lemur Center,1,63,12Apr2015,4,7067,Nettle,MMUR,24Aug2011,3.64,7027,Wormwood,MMUR,26May2007,7.88,18Jun2015,0.01,,,0.01,
ECOL,7218,N,F,Odette,Y,1574,24Mar2013,3,,CB,Bronx Zoo/Wildlife Conservation Society,,123,21Nov2012,11,oi_M10035,,,,,6477,GERARD,ECOL,31Mar1992,20.66,,,5.88,,5.88,2
ECOL,7219,N,M,Quentin,N,1575,28Mar2013,3,,CB,Bronx Zoo/Wildlife Conservation Society,,123,25Nov2012,11,oi_M07032,,,,,oi_M11006,,,,,,,5.87,,5.87,2
