EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
MAKA86401,01,1986,2,AAJ,"Hawley, Elizabeth",,,1987,,61:225 (1987),,
MAK286101,01,1986,2,AAJ,"Fortner, Glenn",,,1987,,61:226 (1987),,
MAK286302,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:226 (1987),,
MAK286301,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:226 (1987),,
CHAM86301,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:226 (1987),,
CHAM86302,01,1986,2,AAJ,"Shinya, Akio",,,1987,,61:227 (1987),,
AMAD86101,01,1986,2,AAJ,"Horner, Skip",,,1987,,61:227-228 (1987),,
AMAD86301,01,1986,2,AAJ,"Smid, Miroslav",,,1987,,61:228 (1987),,
AMAD86303,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:228 (1987),,
AMAD86401,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:228 (1987),,
THAM86301,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:230 (1987),,
AMAD86102,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:230 (1987),,
KTEG86102,01,1986,2,AAJ,"Lowe, Jeff",,,1987,,61:230-232 (1987),,
NUPT86101,01,1986,2,AAJ,"Lowe, Jeff",,,1987,,61:230-232 (1987),,
LOBW86401,01,1986,2,AAJ,"Hawley, Elizabeth",,,1987,,61:232 (1987),,
NUPT86401,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:232 (1987),,
LSHR86302,01,1986,2,AAJ,"Spirig, Toni",,,1987,,61:232 (1987),,
LSHR86301,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:233 (1987),,
LSHR86101,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:233 (1987),,
LHOT86101,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:233 (1987),,
EVER86104,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:233 (1987),,
EVER86105,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:234 (1987),,
EVER86305,01,1986,2,AAJ,"Escoffier, Eric",,,1987,,61:234 (1987),,
EVER86302,01,1986,2,AAJ,"Graf, Fredy",,,1987,,61:234-235 (1987),,
EVER86401,01,1986,2,AAJ,"Guha, Kamal K.",,,1987,,61:235 (1987),,
EVER86402,01,1986,2,AAJ,"Hawley, Elizabeth",,,1987,,61:235 (1987),,
PUMO86302,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:236 (1987),,
PUMO86303,01,1986,2,AAJ,"Allan, Sandy",,,1987,,61:236-238 (1987),,
PUMO86301,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:238 (1987),,
AMAD86302,01,1986,2,AAJ,"Berljak, Darko",,,1987,,61:238 (1987),,
PUMO86402,01,1986,2,AAJ,"Bibler, Todd",,,1987,,61:238-239 (1987),,
PUMO86401,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:238 (1987),,
GYAC86101,01,1986,2,AAJ,"Marmier, Jean-Claude",,,1987,,61:239 (1987),,
GYAC86301,01,1986,2,AAJ,"Zuloaga, Jose Luis",,,1987,,61:239-240 (1987),,
CHOY86101,01,1986,2,AAJ,"Nyka, Jozef",,,1987,,61:240 (1987),,
CHOY86103,01,1986,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1987,,61:240-241 (1987),,
CHOY86102,01,1986,2,AAJ,"Frush, James",,,1987,,61:241-242 (1987),,
CHOY86302,01,1986,2,AAJ,"Shiraishi, Nobuo",,,1987,,61:242 (1987),,
