PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
TONG,Tongu,,Mukut Himal (N of Hongde in Hidden Valley),6187,20299,16,6,FALSE,TRUE,FALSE,,,1,2,,1959,3,TONG59301,Oct 21,USA,"John Humphreys, Fred Dunn, John Noxon",,,
TRIP,Tripura Hiunchuli,"Tripura Thumba, Hanging Glacier Peak",Kanjiroba Himal (SE of Kanjiroba),6553,21499,10,7,TRUE,FALSE,FALSE,,,1,2,,1986,3,TRIP86301,Oct 17,"Japan, Nepal","Noriyuki Hata, Katashi Tokimoto, Ang Phuri Sherpa",1st ascent of main (north) peak,,
TSOK,Tso Karpo Kang,Tso Karpo Khang,Kanjiroba Himal (E of Kanjiroba),6556,21509,10,7,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1971,3,TSOK71301,Oct 25,Japan,"Shoji Miyoshi, Koji Mizutani",,,
TUKU,Tukuche,,Dhaulagiri Himal (NE of Dhaulagiri I),6920,22703,4,6,TRUE,FALSE,FALSE,,,1,2,,1970,1,TUKU70101,Apr 30,Japan,"Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto",1st unofficial ascent by USA in 1968?,,
URKM,Urkinmang,Buddha,Jugal Himal (W of Dorje Lhakpa),6143,20154,8,3,TRUE,FALSE,FALSE,,,1,2,,1964,1,URKM64101,May 20,"Japan, Nepal","Akira Ban, Kazuhisa Jokei, Tesuya Kiyohara, Mingma Tshering Sherpa",,,
ANID,Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808,22336,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,1,,,0,,,,Unclimbed,,,
TSUR,Tsaurabong Peak,"Chara Ban Peak, White Peak",Dhaulagiri Himal (SSE of Dhaulagiri V),6395,20981,4,6,FALSE,TRUE,FALSE,,,1,2,,1974,1,TSUR74101,,"Japan, Nepal","Genzaburo Yamasaki, Sherpas (?)",,,
YALU,Yalung Kang,Yalungkar,Kangchenjunga Himal (W summit of Kangchenjunga),8505,27904,9,1,TRUE,FALSE,FALSE,,,1,2,,1973,1,YALU73101,May 14,Japan,"Yutaka Ageta, Takao Matsuda",1st ascent claimed,,
PASA,Pasang Lhamu Chuli,Jasemba,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,24114,12,2,TRUE,FALSE,FALSE,,,4,2,,1986,3,PASA86301,Oct 12,Japan,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",,,
RATC,Ratna Chuli,,Peri Himal (NW of Himlung on Tibetan border),7035,23081,18,5,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,1996,3,RATC96301,Oct 14,"Japan, Nepal","Osamu Tanabe, Santa Bahadur Ale, Katsuhiko Sawada, Durge Bahadur Tamang, Tul Bahadur Tamang",,,
KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,22474,11,7,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2002,3,KANT02301,Sep 24,"Japan, Nepal","Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa",Ascent was from Tibetan side,,
RAMT,Ramtang,,Kangchenjunga Himal (N of Kangbachen),6601,21657,9,1,TRUE,FALSE,FALSE,,Opened in 1997,1,2,,1930,1,RAMT30101,May,"Austria, UK","Erwin Schneider, Frank Smythe",,,
LING,Lingtren,,Khumbu Himal (ENE of Pumori on Tibetan border),6713,22024,12,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,1935,2,LING35201,Aug,UK,"Eric Shipton, Dan Bryant",,,
TENG,Tengkoma,Tang Kongma,Jongsang Himal (NW of Kangchenjunga),6215,20390,7,1,TRUE,FALSE,FALSE,,Opened in 1997,1,2,,1949,1,TENG49101,Jun 17,"Switzerland, Nepal","Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant, Pasang Sherpa",,,
RAMC,Ramtang Chang,"Wedge Peak, Chang Himal",Kangchenjunga Himal (N of Ramtang),6802,22316,9,1,TRUE,FALSE,FALSE,,Opened in 2002,1,2,,1974,3,RAMC74301,Oct 05,Yugoslavia,"Janez Gradisar, Bojan Pollak, Michael Smolej",Illegal ascent,,
CHRE,Churen Himal East,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,6,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,1,2,,1970,1,CHRE70101,Apr 29,"S Korea, Nepal","Kim Ho-Sup, Rinsing Ongyal Sherpa",,,
CHRW,Churen Himal West,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,6,TRUE,FALSE,FALSE,,One permit for Churen Himal's three summits,1,2,,1970,3,CHRW70301,Oct 28,"Japan, Nepal","Kozo Hasegawa, Ang Norbu Sherpa",,,
CHRI,Chhukung Ri,,Khumbu Himal (S of Lhotse),5550,18209,12,2,FALSE,FALSE,TRUE,2002,Opened in 1997; converted to trekking peak in 2002,1,2,,1965,1,CHRI65101,May,Netherlands,Johannes Adolf Noordijk,,,
