event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,comments,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2259248673,true,2008-06-18 19:00:00.000,-122.90815138931832,56.608939171672844,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248674,true,2008-07-16 19:00:00.000,-122.78030428408668,56.591278112961724,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248675,true,2008-08-12 19:00:00.000,-122.79049319999507,56.58326389472628,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248676,true,2008-09-18 19:00:00.000,-122.791982428569,56.64408856000769,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248677,true,2008-10-20 19:00:00.000,-122.76837268067518,56.622539061035056,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248678,true,2008-11-20 19:00:00.000,-122.70473609807146,56.57414168072359,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248679,true,2008-12-20 19:00:00.000,-122.95597495629247,56.58676563825997,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248680,true,2009-01-17 19:00:00.000,-122.92445016292844,56.57239389297137,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248681,true,2009-02-25 19:00:00.000,-122.78072210064721,56.53034833718095,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC09","GR_GC09","Mountain caribou in British Columbia"
2259248682,true,2008-04-10 19:00:00.000,-122.76022578347026,56.59143868418723,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248683,true,2008-05-10 19:00:00.000,-122.80688487020619,56.59328973267343,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248684,true,2008-06-18 19:00:00.000,-122.86348018563446,56.532488231810255,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248685,true,2008-07-16 19:00:00.000,-122.8976819329055,56.5767140768529,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248686,true,2008-08-12 19:00:00.000,-122.92408042155958,56.448151138645976,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248687,true,2008-09-18 19:00:00.000,-122.80027742526609,56.496771349772246,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248688,true,2008-10-20 19:00:00.000,-122.8843290449204,56.61587296811447,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248689,true,2008-11-20 19:00:00.000,-122.941494308334,56.633081461980225,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248690,true,2008-12-20 19:00:00.000,-122.94084359143906,56.62180619638333,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248691,true,2009-01-17 19:00:00.000,-122.88158414314061,56.57140814924662,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248692,true,2009-02-25 19:00:00.000,-122.89666183042002,56.586685585238826,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC10","GR_GC10","Mountain caribou in British Columbia"
2259248693,true,2008-04-10 19:00:00.000,-122.80466617425596,56.65087407297509,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248694,true,2008-05-10 19:00:00.000,-122.90009589298386,56.66739197178478,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248695,true,2008-06-18 19:00:00.000,-122.90486745698054,56.60621453355728,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248696,true,2008-07-16 19:00:00.000,-122.87465114833242,56.61073369971055,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248697,true,2008-08-12 19:00:00.000,-122.84741427592678,56.6342325052262,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248698,true,2008-09-18 19:00:00.000,-122.90868427210533,56.590639006898954,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248699,true,2008-10-20 19:00:00.000,-122.8843290449204,56.61587296811447,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248700,true,2008-11-20 19:00:00.000,-122.92847143757719,56.614819098347354,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248701,true,2008-12-20 19:00:00.000,-122.91397162978343,56.67865923888271,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248702,true,2009-01-17 19:00:00.000,-122.90182331155047,56.624261128159425,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248703,true,2009-02-25 19:00:00.000,-122.65013147679466,56.33209650404542,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC11","GR_GC11","Mountain caribou in British Columbia"
2259248704,true,2008-04-10 19:00:00.000,-122.82133851014518,56.67062796980794,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248705,true,2008-05-10 19:00:00.000,-122.87330339432,56.58993419772923,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248706,true,2008-06-18 19:00:00.000,-123.29417365951485,56.689409867631134,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248707,true,2008-07-16 19:00:00.000,-123.07803353213424,56.60878688892071,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248708,true,2008-08-12 19:00:00.000,-122.76208600156664,56.59859360408095,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248709,true,2008-09-18 19:00:00.000,-122.94675444919116,56.56730246559544,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248710,true,2008-10-20 19:00:00.000,-122.85243424156346,56.56346196138311,,"Graham","Summer","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248711,true,2008-11-20 19:00:00.000,-122.92847143757719,56.614819098347354,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248712,true,2008-12-20 19:00:00.000,-122.94084359143906,56.62180619638333,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
2259248713,true,2009-01-17 19:00:00.000,-122.89052546074775,56.580454355822795,,"Graham","Winter","radio-transmitter","Rangifer tarandus","GC12","GR_GC12","Mountain caribou in British Columbia"
