casualty_group,killed,injured,total_casualties
1040,0,0,0
1041,0,0,0
1042,3,13,16
1043,0,0,0
1044,0,0,0
1045,1,0,1
1046,3,7,10
1047,0,0,0
1048,1,4,5
1049,0,0,0
1050,0,0,0
1051,0,5,5
1052,0,0,0
1053,0,0,0
1054,0,0,0
1055,2,10,12
1056,0,0,0
1057,0,0,0
1058,6,2,8
1059,0,0,0
1060,3,3,6
1061,4,29,33
1062,0,0,0
1063,0,0,0
1064,0,0,0
1065,1,0,1
1066,1,14,15
1067,0,3,3
1068,0,0,0
1069,10,40,50
1070,0,0,0
1071,0,0,0
1072,0,0,0
1073,0,0,0
1074,0,0,0
1075,0,2,2
1076,0,0,0
1077,2,50,52
1078,0,0,0
1079,0,0,0
1080,0,2,2
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,NA,NA,3
1086,0,0,0
1087,0,0,0
1088,0,0,0
1089,1,9,10
1090,0,0,0
1091,0,0,0
1092,0,0,0
1093,5,15,20
1094,0,4,4
1095,0,0,0
1096,0,4,4
1097,0,0,0
1098,0,0,0
1099,NA,NA,1
1100,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,0,0,0
1109,0,0,0
1110,2,3,5
1111,0,0,0
1112,0,0,0
1113,0,0,0
1114,0,0,0
1115,0,0,0
1116,7,144,151
1117,0,0,0
1118,0,0,0
1119,0,0,0
1120,4,11,15
1121,0,0,0
1122,0,0,0
1123,0,1,1
1124,0,0,0
1125,0,1,1
1126,0,0,0
1127,7,6,13
1128,0,0,0
1129,0,0,0
1130,0,0,0
1131,0,0,0
1132,0,0,0
1133,0,0,0
1134,0,0,0
1135,0,0,0
1136,0,0,0
1137,1,7,8
1138,0,0,0
1139,0,0,0
1140,0,0,0
1141,0,0,0
1142,0,0,0
1143,0,0,0
1144,0,0,0
1145,0,0,0
1146,8,13,21
1147,NA,NA,7
1148,0,15,15
1149,4,8,12
1150,0,0,0
1151,NA,NA,22
1152,0,0,0
1153,1,5,6
1154,NA,NA,NA
1155,0,0,0
1156,0,0,0
1157,12,0,12
1158,0,0,0
1159,0,0,0
1160,0,0,0
